tmdb_id,genre_ids
13466,"18,10751"
1712,"18,37"
746,"18,36"
10637,18
55,"18,53"
431693,"16,28,12,35,10751"
180299,"28,80,53"
10754,"80,18"
212,"35,80"
899405,"18,10749"
20992,"18,80"
14813,"10751,16"
14438,18
74308,18
568124,"16,35,10751,14"
25188,18
19101,"18,10751,14"
14624,"10749,18,10751"
9343,"18,12"
283995,"878,12,28"
381289,"12,35,14,10751,18"
38251,"35,10749,10752"
10835,"28,80,18,53"
1093,"80,18,53"
419430,"9648,53,27"
13386,35
707886,"35,10402,18"
585244,"10402,18,10749"
265169,18
17058,"18,80"
10331,27
11657,"53,80"
517093,"18,28,10752"
348678,"35,18"
13363,"878,18"
576,37
627725,18
398978,"80,18,36"
650,"80,18"
1933,"27,9648,53"
1075794,"16,35,10751"
137113,"28,878"
11321,18
9912,"18,12,36"
9444,"16,10751,14,12"
21191,"18,28,53,80"
18329,"18,10749"
137,"10749,14,18,35"
293660,"28,12,35"
309809,"12,16,14,10751"
31417,"18,27,53"
20108,18
9693,"18,28,53,878"
284427,53
3309,"80,18"
244,"12,14,27"
910,"80,9648,10749,53"
333339,"12,28,878"
9377,35
820,"18,53,36"
599521,"14,10749,10770"
38757,"16,10751"
1678,"53,27,878"
63,"878,53,9648"
1076364,"16,12,10751"
586863,"80,18,53"
366170,"12,16"
306819,18
118406,"16,14,28"
4481,18
642,37
629542,"16,28,12,80,35,10751"
222935,"10749,18"
11969,"37,28"
10322,"35,18"
4291,"35,18,10751"
3580,"80,18,9648"
722778,18
489999,"53,9648,18"
244267,"878,18"
343,"35,18,10749"
54186,"18,53,9648"
678,"80,18,10749,53"
612706,"35,10402"
284053,"28,12,878"
283587,"18,10752"
1628,"18,10749"
819,"80,18,53"
347201,"16,28,35"
329865,"18,878,9648"
21575,"80,18"
1654,"28,12,10752"
26371,"18,10749"
575264,"28,53"
228205,"18,10749"
14784,"12,14,18"
9289,"10752,28,18"
71,"18,35,10402"
768744,"16,28,12,878"
417261,"10749,18,10402"
4960,18
863,"16,35,10751"
614409,"10749,35,18"
8703,"14,10751,10749"
776,"18,35,10749"
76341,"28,12,878"
1913,18
1544,"18,35,10749"
810171,"35,10749"
64,"18,10749"
475888,"10749,18"
198375,"16,18,10749"
41411,"18,36,10752"
16219,"28,18"
4951,"35,10749,18"
638,"18,53,9648"
614934,"18,10402"
4922,"18,14,10749"
514754,"16,10751,14"
588228,"28,878,12"
566525,"28,12,14"
4982,"18,80"
616,"18,28,10752"
246741,"35,27"
64690,"18,53,80"
72213,18
19995,"28,12,14,878"
824,"18,10749,10402"
630,"12,14,10751"
264660,"18,878"
8327,18
8073,"80,18"
2487,"28,80,18"
2013,"18,36"
433,"35,10751,14"
33997,18
24653,"18,53"
1579,"28,18,36"
1541,"18,53,80,12"
57158,"14,12,28"
17431,"878,18"
429450,"53,18,28"
10950,18
220,18
481848,"12,10751,18"
364111,"16,18,10402,10749"
277834,"12,35,10751,16"
11046,"28,12,10752"
507569,"28,12,14,16"
9394,"28,35,37"
483184,"80,18,53"
1567,"18,53"
10363,"80,53,18"
8440,18
1879,"18,35,10749"
269,"18,80"
7214,"18,36"
1954,"878,53"
256040,"28,12,18"
38234,"28,53"
338,"35,18"
607259,"18,35"
375572,"18,28"
315846,"18,10751"
127533,"12,28,14,10752,36"
2649,"18,53,9648"
948,"27,53"
15014,"18,35"
5165,"18,9648"
900,"35,10749"
71859,"18,53"
912908,"35,12"
11782,"28,53,80"
42801,"35,10749"
12102,18
11686,"35,10752"
11171,18
765,"27,35,14"
430,35
111083,"53,9648"
4638,"80,28,35"
451915,18
782,"53,878,9648,10749"
666243,"16,28,14"
3558,18
982,"53,18"
682507,"18,9648,10749"
436969,"28,35,12"
216156,18
109424,"28,18,53"
11159,18
4550,"18,53"
228326,"16,12,35,10751,14"
13562,"35,10749"
675353,"28,12,10751,35"
335984,"878,18"
484468,"53,28"
11688,"12,16,35,10751,14"
416144,"53,36,18,28"
36557,"12,28,53"
3767,"10749,18,53"
783,"18,36"
456929,"18,35"
451657,"18,53"
575604,"53,9648,878"
334541,18
15999,"16,14,27,28"
3933,"10749,14,16"
433471,"10751,14,16"
61202,"18,35,10749"
15917,"18,10749"
4593,35
967,"36,10752,18,12"
17057,"18,10749,9648,80,53"
9040,"80,18,36"
308369,"18,35"
200481,"16,10749"
13413,"16,10751,35,878"
138843,"27,53"
747,"27,35"
200085,"28,12,878"
9366,"80,18,53"
1051,"28,80,53"
319,"28,80,10749"
10778,"80,18"
2009,18
1883,"18,36"
840326,"28,10752"
921,"10749,18,36"
829280,"12,9648,80"
660120,"18,35,10749"
550988,"35,12,878"
83389,"16,18"
59436,"14,35,10749"
9016,"12,16,10751,14,878"
12163,"18,10749"
11178,"18,35,10749"
1372,"18,53,28"
18,"12,14,28,53,878"
375262,"18,35,53"
364137,"18,35"
13310,"27,18"
12498,18
382614,"18,80,53"
15371,"10751,16,12,35,80"
11854,"10749,18"
491418,"35,18"
19223,"9648,53,80,18"
9516,"18,80"
532,"10751,16,35"
11040,"12,37,35,18"
907,"18,10749,10752"
221,18
552178,"18,53"
281957,"37,18,12"
37769,35
25468,18
3133,"80,18,10749"
592,"80,18,9648"
229,"27,878"
39323,"16,28,878,18,14"
9056,"28,80,53"
127585,"28,12,878"
11202,"10752,18,36"
881,18
228150,"10752,18,28"
5708,18
11113,"10402,35,10749,18"
63311,"18,27,9648,53"
15472,"18,53,80,9648"
16958,"80,18"
10734,"18,53"
10161,18
4553,"53,18"
1949,"80,18,9648,53"
11528,"10751,35"
3116,18
856,"14,16,35,80"
11544,"16,10751"
571,27
860159,"35,10749"
768362,"53,9648"
503919,"18,14,53,27"
132344,"10749,18"
10787,"27,878"
9340,"12,35,10751"
487558,"35,80,18,36"
339,"35,18"
668742,"35,10751"
476968,18
11356,35
848685,"53,18"
771077,"35,18"
39324,"16,28,878"
16391,18
11327,"18,80"
10110,"18,36,10752"
6620,"35,10749,18"
601,"878,12,10751,14"
529203,"16,10751,12,14,35"
301528,"10751,12,16,35,14"
21734,"53,80"
16633,"18,14,10749"
1786,"18,10752"
106,"878,28,12,53"
966,"28,12,37"
1151534,"53,18"
1600,"18,10749,9648,14"
552095,"12,16,10751,28"
179144,18
11906,27
9495,"14,28,53"
1083862,"16,28,27"
468284,"18,80"
551332,"18,35,36"
79,"18,12,28,36"
431580,"10751,16,12,35"
85350,18
544510,"35,36"
28874,"16,878"
11506,"18,10749"
786,"18,10402"
520763,"878,53,27"
176983,"16,14,28,12"
522,"35,18,36"
345938,"18,14"
337703,"16,18,14,10751"
332562,"10402,18,10749"
261470,"10749,18"
5143,"35,18"
431937,"10749,18,35"
389015,"18,35"
11970,"16,10751,14,12,35,10749"
7735,"18,53"
625,"18,36,10752"
809107,"10402,14,35,878,10751,10770"
